#PictureHD,PictureThumbNail,X/East,Y/North,Z/Altitude,Yaw,Pitch,Roll,FligthSpeed,Battery,
http://data.flightstream.io/sg/0002/P3030236.JPG,http://data.flightstream.io/sg/0002/tn/P3030236.JPG,1.400176,103.897421,70.44,43.66,-0.19,0.47,2,78%,
http://data.flightstream.io/sg/0002/P3030237.JPG,http://data.flightstream.io/sg/0002/tn/P3030237.JPG,1.400175,103.897421,72.44,46,-0.3,0.03,2,78%,
http://data.flightstream.io/sg/0002/P3030238.JPG,http://data.flightstream.io/sg/0002/tn/P3030238.JPG,1.400178,103.897418,73.78,47.5,0.81,0.85,2,78%,
http://data.flightstream.io/sg/0002/P3030239.JPG,http://data.flightstream.io/sg/0002/tn/P3030239.JPG,1.40018,103.897412,75.87,49.62,1.86,0.8,2,78%,
http://data.flightstream.io/sg/0002/P3030240.JPG,http://data.flightstream.io/sg/0002/tn/P3030240.JPG,1.400181,103.897407,77.35,51.33,2.68,0.1,2,77%,
http://data.flightstream.io/sg/0002/P3030241.JPG,http://data.flightstream.io/sg/0002/tn/P3030241.JPG,1.400182,103.897396,78.45,52.43,6.12,0.26,2,77%,
http://data.flightstream.io/sg/0002/P3030242.JPG,http://data.flightstream.io/sg/0002/tn/P3030242.JPG,1.40018,103.897399,79.82,53.72,2.98,-1.01,2,77%,
http://data.flightstream.io/sg/0002/P3030243.JPG,http://data.flightstream.io/sg/0002/tn/P3030243.JPG,1.400199,103.897425,82.32,57.87,2.34,-4.33,2,77%,
http://data.flightstream.io/sg/0002/P3030244.JPG,http://data.flightstream.io/sg/0002/tn/P3030244.JPG,1.40021,103.897426,82.19,58.19,2.48,-1.55,2,76%,
http://data.flightstream.io/sg/0002/P3030245.JPG,http://data.flightstream.io/sg/0002/tn/P3030245.JPG,1.400232,103.897433,81.87,57.3,1.35,-2.12,2,76%,
http://data.flightstream.io/sg/0002/P3030246.JPG,http://data.flightstream.io/sg/0002/tn/P3030246.JPG,1.400242,103.897436,82.13,58.24,-0.05,-1.5,2,76%,
http://data.flightstream.io/sg/0002/P3030247.JPG,http://data.flightstream.io/sg/0002/tn/P3030247.JPG,1.400256,103.897429,82.39,58.18,3.19,0.87,2,76%,
http://data.flightstream.io/sg/0002/P3030248.JPG,http://data.flightstream.io/sg/0002/tn/P3030248.JPG,1.40026,103.897425,82.93,58.64,2.96,0.21,1,75%,
http://data.flightstream.io/sg/0002/P3030249.JPG,http://data.flightstream.io/sg/0002/tn/P3030249.JPG,1.400252,103.897431,83.26,59.15,-1.31,-3.59,1,75%,
http://data.flightstream.io/sg/0002/P3030250.JPG,http://data.flightstream.io/sg/0002/tn/P3030250.JPG,1.400247,103.897424,82.75,58.07,-3.86,-9.69,1,74%,
http://data.flightstream.io/sg/0002/P3030251.JPG,http://data.flightstream.io/sg/0002/tn/P3030251.JPG,1.400264,103.897395,83.05,58.5,7.52,5.4,1,74%,
http://data.flightstream.io/sg/0002/P3030252.JPG,http://data.flightstream.io/sg/0002/tn/P3030252.JPG,1.400233,103.897403,84.24,60.29,4.34,-5.66,2,73%,
http://data.flightstream.io/sg/0002/P3030253.JPG,http://data.flightstream.io/sg/0002/tn/P3030253.JPG,1.400235,103.897405,84.47,60.67,4.01,-4.91,2,73%,
http://data.flightstream.io/sg/0002/P3030254.JPG,http://data.flightstream.io/sg/0002/tn/P3030254.JPG,1.400241,103.89741,84.57,60.95,3.32,-4.3,2,73%,
http://data.flightstream.io/sg/0002/P3030255.JPG,http://data.flightstream.io/sg/0002/tn/P3030255.JPG,1.400272,103.897427,84.23,60.86,2.43,1.07,2,72%,
http://data.flightstream.io/sg/0002/P3030256.JPG,http://data.flightstream.io/sg/0002/tn/P3030256.JPG,1.400266,103.897429,83.85,60.71,1.54,-2.89,2,72%,
http://data.flightstream.io/sg/0002/P3030257.JPG,http://data.flightstream.io/sg/0002/tn/P3030257.JPG,1.400267,103.89742,84.27,60.35,2.65,0.02,2,72%,
